PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"19987409","Case of False Localizing Signs in Cerebral Tumour: Endothelioma of Left Sylvian Region revealed by Ventriculography","Broster LR.","Proc R Soc Med. 1930 Feb;23(4):552. doi: 10.1177/003591573002300493.","Broster LR","Proc R Soc Med","1930","2009/12/09","PMC2182994","","10.1177/003591573002300493"
"3508676","Spinal and radicular pain in pseudotumor cerebri","Murray RS, Tait VF, Thompson JA.","Pediatr Neurol. 1986 Mar-Apr;2(2):106-7. doi: 10.1016/0887-8994(86)90066-4.","Murray RS","Pediatr Neurol","1986","1986/03/01","","","10.1016/0887-8994(86)90066-4"
"24684337","From the notch to a glioma grading system: the neurological contributions of James Watson Kernohan","Safavi-Abbasi S, Maurer AJ, Archer JB, Hanel RA, Sughrue ME, Theodore N, Preul MC.","Neurosurg Focus. 2014 Apr;36(4):E4. doi: 10.3171/2014.1.FOCUS13575.","Safavi-Abbasi S","Neurosurg Focus","2014","2014/04/02","","","10.3171/2014.1.FOCUS13575"
"6182481","[Posterior fossa meningioma with special reference to false localizing sign]","Nagahiro S, Matsukado Y, Uemura S.","Neurol Med Chir (Tokyo). 1982 Jun;22(6):421-8. doi: 10.2176/nmc.22.421.","Nagahiro S","Neurol Med Chir (Tokyo)","1982","1982/06/01","","","10.2176/nmc.22.421"
"18207526","Case report: spontaneous intracranial hypotension in association with the presence of a false localizing C1-C2 cerebrospinal fluid leak","Morgan JT, Scumpia AJ, Johnson AA, Schneider SJ.","Surg Neurol. 2008 Nov;70(5):539-43; discussion 543-4. doi: 10.1016/j.surneu.2007.05.037. Epub 2008 Jan 18.","Morgan JT","Surg Neurol","2008","2008/01/22","","","10.1016/j.surneu.2007.05.037"
"4543625","Multiple false localizing signs in intracranial tumor. Case report","Turnbull AR.","J Neurosurg. 1974 Feb;40(2):264-6. doi: 10.3171/jns.1974.40.2.0264.","Turnbull AR","J Neurosurg","1974","1974/02/01","","","10.3171/jns.1974.40.2.0264"
"38111373","Malignant spinal cord compression: Atypical presentation, false localizing signs, time course, and implications for the emergency physician","Georgiou A, Farmer A, Georgiou L, Walker B.","Acad Emerg Med. 2024 Jul;31(7):710-712. doi: 10.1111/acem.14855. Epub 2024 Feb 9.","Georgiou A","Acad Emerg Med","2024","2023/12/19","","","10.1111/acem.14855"
"20619745","Ophthalmic segment aneurysmal subarachnoid hemorrhage presenting with contralateral abducens nerve palsy: a false localizing sign","Furtado SV, Mohan D, Hegde AS.","Optometry. 2010 Sep;81(9):450-3. doi: 10.1016/j.optm.2010.03.008.","Furtado SV","Optometry","2010","2010/07/13","","","10.1016/j.optm.2010.03.008"
"25449936","The diagnostic yield of neuroimaging in sixth nerve palsy--Sankara Nethralaya Abducens Palsy Study (SNAPS): Report 1","Nair AG, Ambika S, Noronha VO, Gandhi RA.","Indian J Ophthalmol. 2014 Oct;62(10):1008-12. doi: 10.4103/0301-4738.146000.","Nair AG","Indian J Ophthalmol","2014","2014/12/03","PMC4278111","","10.4103/0301-4738.146000"
"9674034","[Dorsal sensory level as a false localizing sign in cervical myelopathy]","Pego-Reigosa R, Trobajo de las Matas JE, Brañas F, Martínez-Vázquez F, Cortés-Laíño JA.","Rev Neurol. 1998 Jul;27(155):86-8.","Pego-Reigosa R","Rev Neurol","1998","1998/07/23","","",""
"10367329","Ependymoma of the fourth ventricle presenting with hemifacial spasm. Report of a case","Rapanà A, Guida F, Conti C, Rizzo G, Trincia G.","Rev Neurol (Paris). 1999 Apr;155(4):309-11.","Rapanà A","Rev Neurol (Paris)","1999","1999/06/15","","",""
"2636799","Contralateral trigeminal neuralgia as a false localizing sign in calcified chronic subdural hematoma: a case report","Kondoh T, Tamaki N, Takeda N, Shirataki K, Mastumoto S.","Surg Neurol. 1989 Dec;32(6):471-5. doi: 10.1016/0090-3019(89)90014-1.","Kondoh T","Surg Neurol","1989","1989/12/01","","","10.1016/0090-3019(89)90014-1"
"17297277","Ruptured anterior communicating artery aneurysm causing bilateral oculomotor nerve palsy: a case report","Kang SD.","J Korean Med Sci. 2007 Feb;22(1):173-6. doi: 10.3346/jkms.2007.22.1.173.","Kang SD","J Korean Med Sci","2007","2007/02/14","PMC2693562","","10.3346/jkms.2007.22.1.173"
"2770966","[Trigeminal nerve dysfunction as a false localizing sign: a case of the choroid plexus papilloma in the IVth ventricle]","Nishizawa S, Ninchoji T, Uemura K, Ryu H, Yokoyama T, Simoyama I, Sugiura Y, Takahashi H.","No Shinkei Geka. 1989 Mar;17(3):273-7.","Nishizawa S","No Shinkei Geka","1989","1989/03/01","","",""
"13703848","False localizing signs. A review of the concept and analysis of the occurrence in 250 cases of intracranial meningioma","GASSEL MM.","Arch Neurol. 1961 May;4:526-54. doi: 10.1001/archneur.1961.00450110056007.","GASSEL MM","Arch Neurol","1961","1961/05/01","","","10.1001/archneur.1961.00450110056007"
"8837794","False localizing signs in upper cervical spinal cord compression","Sonstein WJ, LaSala PA, Michelsen WJ, Onesti ST.","Neurosurgery. 1996 Mar;38(3):445-8; discussion 448-9. doi: 10.1097/00006123-199603000-00004.","Sonstein WJ","Neurosurgery","1996","1996/03/01","","","10.1097/00006123-199603000-00004"
"7477786","Concurrent trigeminal, abducens, and facial nerve palsies presenting as false localizing signs: case report","Ro LS, Chen ST, Tang LM, Wei KC.","Neurosurgery. 1995 Aug;37(2):322-4; discussion 324-5.","Ro LS","Neurosurgery","1995","1995/08/01","","",""
"41818115","A Case of Drowning with Acute Kidney Injury and Raised Intracranial Tension","Yamuna M, Geetha T, Shiva NK, Dinesh S.","J Assoc Physicians India. 2026 Mar;74(3):23-26. doi: 10.59556/japi.74.1393.","Yamuna M","J Assoc Physicians India","2026","2026/03/12","","","10.59556/japi.74.1393"
"14770616","""False"" localizing signs in intracranial tumor; report of a patient with left trigeminal palsy due to right temporal meningioma","EHNI G.","AMA Arch Neurol Psychiatry. 1950 Nov;64(5):692-8.","EHNI G","AMA Arch Neurol Psychiatry","1950","1950/11/01","","",""
"29576903","Ruptured posterior cerebral artery aneurysm presenting with a contralateral cranial nerve III palsy: A case report","Chaudhry NS, Brunozzi D, Shakur SF, Charbel FT, Alaraj A.","Surg Neurol Int. 2018 Mar 1;9:52. doi: 10.4103/sni.sni_430_17. eCollection 2018.","Chaudhry NS","Surg Neurol Int","2018","2018/03/27","PMC5858053","","10.4103/sni.sni_430_17"
"2795052","Trigeminal neuralgia associated with contralateral intracranial tumour: a false localising sign caused by vascular compression? Report of two cases","Michelucci R, Tassinari CA, Plasmati R, Rubboli G, Forti A, Tognetti F, Calbucci F.","J Neurol Neurosurg Psychiatry. 1989 Oct;52(10):1202-3. doi: 10.1136/jnnp.52.10.1202.","Michelucci R","J Neurol Neurosurg Psychiatry","1989","1989/10/01","PMC1031712","","10.1136/jnnp.52.10.1202"
"35079545","Transverse-sigmoid Sinus Dural Arteriovenous Fistula Presenting with False Localizing Signs of Cavernous Sinus Dural Arteriovenous Fistula Due to Obstructed Cerebral Venous Outflow into the Bilateral Superior Ophthalmic Veins: A Case Report","Nariai Y, Takigawa T, Hyodo A, Suzuki K.","NMC Case Rep J. 2021 Nov 2;8(1):761-766. doi: 10.2176/nmccrj.cr.2021-0243. eCollection 2021.","Nariai Y","NMC Case Rep J","2021","2022/01/26","PMC8769438","","10.2176/nmccrj.cr.2021-0243"
"24057282","Wrist drop and muscle weakness of the fingers induced by an upper cervical spine anomaly","Tsunoda D, Iizuka H, Iizuka Y, Nishinome M, Takagishi K.","Eur Spine J. 2014 May;23 Suppl 2:218-21. doi: 10.1007/s00586-013-3038-4. Epub 2013 Sep 23.","Tsunoda D","Eur Spine J","2014","2013/09/24","","","10.1007/s00586-013-3038-4"
"8971849","False localizing signs in upper cervical spinal cord compression","Rafael H.","Neurosurgery. 1997 Jan;40(1):217-8. doi: 10.1097/00006123-199701000-00053.","Rafael H","Neurosurgery","1997","1997/01/01","","","10.1097/00006123-199701000-00053"
"1219088","Multiple crossed false localizing signs in a posterior fossa tumour","Maurice-Williams RS.","J Neurol Neurosurg Psychiatry. 1975 Dec;38(12):1232-4. doi: 10.1136/jnnp.38.12.1232.","Maurice-Williams RS","J Neurol Neurosurg Psychiatry","1975","1975/12/01","PMC492193","","10.1136/jnnp.38.12.1232"
"22689848","Eye twist and tongue twist: a rare neurological syndrome","Thapa L, Paudel R, Chhetri P, Rana PV.","BMJ Case Rep. 2011 Jul 28;2011:bcr0620114366. doi: 10.1136/bcr.06.2011.4366.","Thapa L","BMJ Case Rep","2011","2012/06/13","PMC3149429","","10.1136/bcr.06.2011.4366"
"19558290","Spontaneous spinal epidural hematoma inducing acute anterior spinal cord syndrome","Kunizawa A, Fujioka M, Suzuki S, Ryu T, Asai A, Kawamoto K, Kitazawa Y.","J Neurosurg Spine. 2009 Jun;10(6):574-7. doi: 10.3171/2009.2.SPINE08342.","Kunizawa A","J Neurosurg Spine","2009","2009/06/30","","","10.3171/2009.2.SPINE08342"
"3273514","[Paralysis of the vertical gaze caused by a hematoma of the caudate nucleus. A false localizing sign]","López de Munain A, Martí Massó JF, Carrera N, Urtasún M, Blanco A.","Neurologia. 1988 May-Jun;3(3):116-9.","López de Munain A","Neurologia","1988","1988/05/01","","",""
"18976053","Emergency suboccipital decompression for respiratory arrest during supratentorial surgery: the untold story of a surgeon's courage in times of despair","Shelton BA, O'Hara E, Tubbs RS, Shoja MM, Barker FG, Cohen-Gadol AA.","J Neurosurg. 2009 Feb;110(2):391-4. doi: 10.3171/2008.8.JNS08773.","Shelton BA","J Neurosurg","2009","2008/11/04","","","10.3171/2008.8.JNS08773"
"2942571","Presentation of pinealoblastoma with ocular dipping and deafness","Toshniwal P, Yadava R, Goldbarg H.","J Clin Neuroophthalmol. 1986 Jun;6(2):128-36.","Toshniwal P","J Clin Neuroophthalmol","1986","1986/06/01","","",""
"7058704","Relation of false localizing signs and remote hyperaemia in patients with intracranial mass lesions","Gelmers HJ, Beks JW.","Acta Neurochir (Wien). 1982;60(1-2):81-9. doi: 10.1007/BF01401753.","Gelmers HJ","Acta Neurochir (Wien)","1982","1982/01/01","","","10.1007/BF01401753"
"17667777","Facial palsy and fallopian canal expansion associated with idiopathic intracranial hypertension","Brackmann DE, Doherty JK.","Otol Neurotol. 2007 Aug;28(5):715-8. doi: 10.1097/01.mao.0000281801.51821.27.","Brackmann DE","Otol Neurotol","2007","2007/08/02","","","10.1097/01.mao.0000281801.51821.27"
"8413812","[Venous thrombosis after closed head injury: a report of two cases presenting as intracranial hypertension]","Satoh H, Uozumi T, Kiya K, Arita K, Kurisu K, Sumida M, Ikawa F.","No Shinkei Geka. 1993 Oct;21(10):953-7.","Satoh H","No Shinkei Geka","1993","1993/10/01","","",""
"8847575","Trigeminal neuralgia and hemifacial spasm as false localizing signs in patients with a contralateral mass of the posterior cranial fossa. Report of three cases","Matsuura N, Kondo A.","J Neurosurg. 1996 Jun;84(6):1067-71. doi: 10.3171/jns.1996.84.6.1067.","Matsuura N","J Neurosurg","1996","1996/06/01","","","10.3171/jns.1996.84.6.1067"
"10390175","Persistent trigeminal neuralgia after removal of contralateral posterior cranial fossa tumor. Report of two cases","Grigoryan YA, Onopchenko CV.","Surg Neurol. 1999 Jul;52(1):56-60; discussion 60-1. doi: 10.1016/s0090-3019(99)00050-6.","Grigoryan YA","Surg Neurol","1999","1999/07/02","","","10.1016/s0090-3019(99)00050-6"
"4414886","Ocular motor disturbances occurring as false localizing signs in ruptured intracranial aneurysms","Suzuki J, Iwabuchi T.","Acta Neurochir (Wien). 1974;30(1-2):119-28. doi: 10.1007/BF01405760.","Suzuki J","Acta Neurochir (Wien)","1974","1974/01/01","","","10.1007/BF01405760"
"28144490","Application of time-spatial labeling inversion pulse magnetic resonance imaging in the diagnosis of spontaneous intracranial hypotension due to high-flow cerebrospinal fluid leakage at C1-2","Hattori N, Inamasu J, Nakae S, Hirose Y, Murayama K.","Surg Neurol Int. 2016 Dec 26;7(Suppl 42):S1085-S1088. doi: 10.4103/2152-7806.196765. eCollection 2016.","Hattori N","Surg Neurol Int","2016","2017/02/02","PMC5234307","","10.4103/2152-7806.196765"
"23960062","Bilateral Morgagni hernia: operative discovery of appendix lying on superior pulmonary vein","Lammy S, Stewart M, Carnochan FM, Walker WS.","Scott Med J. 2013 Aug;58(3):e1-3. doi: 10.1177/0036933013496917.","Lammy S","Scott Med J","2013","2013/08/21","","","10.1177/0036933013496917"
"9760974","Symptomatic leptomeningeal metastases preceding other manifestations of occult primary brain tumors","Corbett JJ, Newman NM.","Surg Neurol. 1981 May;15(5):362-7. doi: 10.1016/0090-3019(81)90171-3.","Corbett JJ","Surg Neurol","1981","1981/05/01","","","10.1016/0090-3019(81)90171-3"
"4000365","[Trigeminal involvement and peripheral facial paralysis caused by Arnold-Chiari malformation with hydrocephalus]","Uldry PA, Fankhauser H, de Tribolet N.","Neurochirurgie. 1985;31(1):73-5.","Uldry PA","Neurochirurgie","1985","1985/01/01","","",""
"724079","[Lateral ventricle tumors (Part 1)--clinical manifestations on 30 cases (author's transl)]","Kitaoka K, Tashiro K, Sato M, Abe H, Tsuru M.","No Shinkei Geka. 1978 Aug;6(8):757-65.","Kitaoka K","No Shinkei Geka","1978","1978/08/01","","",""
"9198099","[Magnetic resonance imaging of Kernohan's notch in chronic subdural hematoma]","Yamasaki F, Kodama Y, Hotta T, Yuki K, Taniguchi E, Hashizume A.","No To Shinkei. 1997 Jun;49(6):563-6.","Yamasaki F","No To Shinkei","1997","1997/06/01","","",""
