Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"CDK2","Cyclin Dependent Kinase 2","Protein Coding","P24941","64","GC12P055966","24.4337673187256","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK2"
"TFG","Trafficking From ER To Golgi Regulator","Protein Coding","Q92734","56","GC03P100709","24.3822059631348","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFG"
"MIR139","MicroRNA 139","RNA Gene","","30","GC11M072615","24.3654632568359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR139"
"NOS2","Nitric Oxide Synthase 2","Protein Coding","P35228","62","GC17M027756","24.3061637878418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS2"
"EPAS1","Endothelial PAS Domain Protein 1","Protein Coding","Q99814","64","GC02P046293","24.2854194641113","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPAS1"
"KITLG","KIT Ligand","Protein Coding","P21583","60","GC12M088492","24.1995735168457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KITLG"
"BTK","Bruton Tyrosine Kinase","Protein Coding","Q06187","67","GC0XM101349","24.1584854125977","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTK"
"PARP1","Poly(ADP-Ribose) Polymerase 1","Protein Coding","P09874","64","GC01M226360","24.148078918457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP1"
"TRIP6","Thyroid Hormone Receptor Interactor 6","Protein Coding","Q15654","45","GC07P100867","24.1031379699707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIP6"
"MIR99A","MicroRNA 99a","RNA Gene","","31","GC21P016539","24.0932846069336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR99A"
"SHH","Sonic Hedgehog Signaling Molecule","Protein Coding","Q15465","64","GC07M155799","24.0751800537109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHH"
"TRAF2","TNF Receptor Associated Factor 2","Protein Coding","Q12933","58","GC09P136881","24.047435760498","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF2"
"AXL","AXL Receptor Tyrosine Kinase","Protein Coding","P30530","64","GC19P041219","24.045747756958","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AXL"
"TLR2","Toll Like Receptor 2","Protein Coding","O60603","65","GC04P153684","24.0410957336426","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR2"
"PCNA","Proliferating Cell Nuclear Antigen","Protein Coding","P12004","63","GC20M005114","24.0324592590332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCNA"
"EIF1AX","Eukaryotic Translation Initiation Factor 1A X-Linked","Protein Coding","P47813","53","GC0XM020124","24.0313606262207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF1AX"
"TMX2-CTNND1","TMX2-CTNND1 Readthrough (NMD Candidate)","RNA Gene","","25","GC11P057712","24.0265846252441","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMX2-CTNND1"
"CXCL10","C-X-C Motif Chemokine Ligand 10","Protein Coding","P02778","57","GC04M076021","24.0099945068359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL10"
"ABCB1","ATP Binding Cassette Subfamily B Member 1","Protein Coding","P08183","64","GC07M087504","23.9520454406738","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB1"
"TRIM24","Tripartite Motif Containing 24","Protein Coding","O15164","58","GC07P138460","23.948278427124","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM24"
"IL18","Interleukin 18","Protein Coding","Q14116","57","GC11M112143","23.9201469421387","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL18"
"DES","Desmin","Protein Coding","P17661","60","GC02P219418","23.9141597747803","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DES"
"NSD1","Nuclear Receptor Binding SET Domain Protein 1","Protein Coding","Q96L73","56","GC05P187580","23.9126052856445","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NSD1"
"MIR25","MicroRNA 25","RNA Gene","","29","GC07M100093","23.9094638824463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR25"
"FLT1","Fms Related Receptor Tyrosine Kinase 1","Protein Coding","P17948","64","GC13M028300","23.9070491790771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT1"
"CSF3","Colony Stimulating Factor 3","Protein Coding","P09919","54","GC17P040015","23.9056949615479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF3"
"APOE","Apolipoprotein E","Protein Coding","P02649","63","GC19P123244","23.8879375457764","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE"
"PRKDC","Protein Kinase, DNA-Activated, Catalytic Subunit","Protein Coding","P78527","63","GC08M047773","23.887300491333","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKDC"
"MIR200A","MicroRNA 200a","RNA Gene","","29","GC01P050633","23.8744678497314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200A"
"CD8A","CD8 Subunit Alpha","Protein Coding","P01732","60","GC02M086784","23.8617153167725","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD8A"
"PMS1","PMS1 Homolog 1, Mismatch Repair System Component","Protein Coding","P54277","52","GC02P189784","23.7796802520752","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMS1"
"MIR27A","MicroRNA 27a","RNA Gene","","32","GC19M096311","23.7556915283203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR27A"
"ABCC1","ATP Binding Cassette Subfamily C Member 1 (ABCC1 Blood Group)","Protein Coding","P33527","61","GC16P015949","23.7551136016846","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC1"
"MLH3","MutL Homolog 3","Protein Coding","Q9UHC1","51","GC14M075013","23.7359066009521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLH3"
"CCND2","Cyclin D2","Protein Coding","P30279","61","GC12P042059","23.6216144561768","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND2"
"CCNE1","Cyclin E1","Protein Coding","P24864","62","GC19P029811","23.6166820526123","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNE1"
"LNCNEF","LncRNA Neighboring Enhancer Of FOXA2","RNA Gene","","17","GC20M022588","23.588020324707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LNCNEF"
"COL1A1","Collagen Type I Alpha 1 Chain","Protein Coding","P02452","63","GC17M085601","23.566593170166","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL1A1"
"FLT4","Fms Related Receptor Tyrosine Kinase 4","Protein Coding","P35916","65","GC05M182671","23.5657062530518","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT4"
"TERC","Telomerase RNA Component","RNA Gene","","39","GC03M169765","23.564697265625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERC"
"MIR205","MicroRNA 205","RNA Gene","","29","GC01P209432","23.5558776855469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR205"
"ZFAS1","ZNFX1 Antisense RNA 1","RNA Gene","","29","GC20P049276","23.542013168335","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFAS1"
"MAP2K2","Mitogen-Activated Protein Kinase Kinase 2","Protein Coding","P36507","67","GC19M004090","23.5152168273926","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K2"
"ZFAT","Zinc Finger And AT-Hook Domain Containing","Protein Coding","Q9P243","43","GC08M134477","23.5079879760742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFAT"
"NTHL1","Nth Like DNA Glycosylase 1","Protein Coding","P78549","56","GC16M025583","23.498987197876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTHL1"
"MIR127","MicroRNA 127","RNA Gene","","30","GC14P116897","23.4739894866943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR127"
"CERNA3","Competing Endogenous LncRNA 3 For MiR-645","RNA Gene","","21","GC08P056352","23.4456748962402","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERNA3"
"GAST","Gastrin","Protein Coding","P01350","52","GC17P041712","23.4445858001709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAST"
"HNF1A","HNF1 Homeobox A","Protein Coding","P20823","59","GC12P120978","23.4267196655273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1A"
"SPOP","Speckle Type BTB/POZ Protein","Protein Coding","O43791","58","GC17M049598","23.3473968505859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPOP"
"GATA3","GATA Binding Protein 3","Protein Coding","P23771","63","GC10P008045","23.3429756164551","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA3"
"DIO3","Iodothyronine Deiodinase 3","Protein Coding","P55073","50","GC14P117035","23.3142585754395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DIO3"
"SMAD2","SMAD Family Member 2","Protein Coding","Q15796","66","GC18M047809","23.2941780090332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD2"
"LINC02605","Long Intergenic Non-Protein Coding RNA 2605","RNA Gene","","22","GC08P078838","23.291410446167","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02605"
"MIR30D","MicroRNA 30d","RNA Gene","","27","GC08M134804","23.2533702850342","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30D"
"MIR150","MicroRNA 150","RNA Gene","","31","GC19M049500","23.2508316040039","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR150"
"KRT20","Keratin 20","Protein Coding","P35900","54","GC17M040875","23.2255935668945","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT20"
"IL7R","Interleukin 7 Receptor","Protein Coding","P16871","59","GC05P035852","23.2021865844727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL7R"
"LOC129929542","ATAC-STARR-Seq Lymphoblastoid Active Region 277","Functional Element","","8","GC01P058740","23.186351776123","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC129929542"
"SMAD3","SMAD Family Member 3","Protein Coding","P84022","66","GC15P067063","23.1844787597656","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD3"
"GREM1","Gremlin 1, DAN Family BMP Antagonist","Protein Coding","O60565","56","GC15P165907","23.1544704437256","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GREM1"
"PPM1D","Protein Phosphatase, Mg2+/Mn2+ Dependent 1D","Protein Coding","O15297","60","GC17P060600","23.0876331329346","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPM1D"
"MIR203A","MicroRNA 203a","RNA Gene","","29","GC14P116969","23.0632400512695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR203A"
"AFP","Alpha Fetoprotein","Protein Coding","P02771","60","GC04P073431","23.0601711273193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AFP"
"NR1H2","Nuclear Receptor Subfamily 1 Group H Member 2","Protein Coding","P55055","58","GC19P050329","23.0587882995605","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1H2"
"MIR200B","MicroRNA 200b","RNA Gene","","30","GC01P001167","23.0499477386475","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200B"
"SLC26A7","Solute Carrier Family 26 Member 7","Protein Coding","Q8TE54","50","GC08P091209","22.9832706451416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC26A7"
"TNFRSF4","TNF Receptor Superfamily Member 4","Protein Coding","P43489","56","GC01M001211","22.9581966400146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF4"
"ADIPOQ","Adiponectin, C1Q And Collagen Domain Containing","Protein Coding","Q15848","59","GC03P186842","22.9233741760254","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOQ"
"MAPK8","Mitogen-Activated Protein Kinase 8","Protein Coding","P45983","62","GC10P048306","22.8998756408691","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8"
"TACSTD2","Tumor Associated Calcium Signal Transducer 2","Protein Coding","P09758","58","GC01M058575","22.8902721405029","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TACSTD2"
"IGFBP3","Insulin Like Growth Factor Binding Protein 3","Protein Coding","P17936","59","GC07M045912","22.8703002929688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP3"
"TNFRSF14","TNF Receptor Superfamily Member 14","Protein Coding","Q92956","56","GC01P050698","22.8556385040283","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF14"
"MIR141","MicroRNA 141","RNA Gene","","31","GC12P042129","22.827917098999","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR141"
"PRKN","Parkin RBR E3 Ubiquitin Protein Ligase","Protein Coding","O60260","62","GC06M161348","22.8057746887207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKN"
"CTSB","Cathepsin B","Protein Coding","P07858","64","GC08M011842","22.7716617584229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSB"
"PRKCD","Protein Kinase C Delta","Protein Coding","Q05655","66","GC03P053156","22.7603759765625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCD"
"ZEB1","Zinc Finger E-Box Binding Homeobox 1","Protein Coding","P37275","62","GC10P031318","22.6930694580078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZEB1"
"CSF1","Colony Stimulating Factor 1","Protein Coding","P09603","58","GC01P109911","22.688793182373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF1"
"PIK3CD","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Delta","Protein Coding","O00329","66","GC01P051042","22.6644515991211","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CD"
"ERC1","ELKS/RAB6-Interacting/CAST Family Member 1","Protein Coding","Q8IUD2","54","GC12P001022","22.6623554229736","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERC1"
"ACTB","Actin Beta","Protein Coding","P60709","63","GC07M005549","22.629508972168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTB"
"LOC130004273","ATAC-STARR-Seq Lymphoblastoid Silent Region 2585","Functional Element","","8","GC10P114735","22.5947093963623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC130004273"
"SERPINE1","Serpin Family E Member 1","Protein Coding","P05121","64","GC07P101127","22.542552947998","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1"
"VDR","Vitamin D Receptor","Protein Coding","P11473","62","GC12M047841","22.5127658843994","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDR"
"IRF1","Interferon Regulatory Factor 1","Protein Coding","P10914","60","GC05M132440","22.5008010864258","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF1"
"CYTOR","Cytoskeleton Regulator RNA","RNA Gene","","30","GC02P089435","22.5002098083496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYTOR"
"FLI1","Fli-1 Proto-Oncogene, ETS Transcription Factor","Protein Coding","Q01543","60","GC11P128686","22.4125595092773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLI1"
"KCNQ1OT1","KCNQ1 Opposite Strand/Antisense Transcript 1","RNA Gene","","36","GC11M012603","22.4124298095703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNQ1OT1"
"MIR148A","MicroRNA 148a","RNA Gene","","29","GC07M025950","22.3976707458496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR148A"
"TNFRSF11A","TNF Receptor Superfamily Member 11a","Protein Coding","Q9Y6Q6","60","GC18P062325","22.393180847168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF11A"
"DIRC3","Disrupted In Renal Carcinoma 3","RNA Gene","","28","GC02M217284","22.3516635894775","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DIRC3"
"MIR346","MicroRNA 346","RNA Gene","","28","GC10M086264","22.3424587249756","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR346"
"ADAM17","ADAM Metallopeptidase Domain 17","Protein Coding","P78536","64","GC02M009488","22.295352935791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM17"
"MAD1L1","Mitotic Arrest Deficient 1 Like 1","Protein Coding","Q9Y6D9","59","GC07M001815","22.2623176574707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAD1L1"
"MIR22","MicroRNA 22","RNA Gene","","31","GC17M001713","22.2062187194824","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR22"
"EDN1","Endothelin 1","Protein Coding","P05305","62","GC06P012237","22.2000274658203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDN1"
"SOD2","Superoxide Dismutase 2","Protein Coding","P04179","60","GC06M159669","22.1667976379395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2"
"MIR106A","MicroRNA 106a","RNA Gene","","28","GC0XM134505","22.0783405303955","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR106A"
"MIR204","MicroRNA 204","RNA Gene","","32","GC09M070809","22.0684242248535","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR204"
"MMP1","Matrix Metallopeptidase 1","Protein Coding","P03956","63","GC11M129720","22.0591335296631","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP1"
"FANCM","FA Complementation Group M","Protein Coding","Q8IYD8","55","GC14P045135","22.0560417175293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCM"
"HDAC1","Histone Deacetylase 1","Protein Coding","Q13547","63","GC01P032292","22.0486469268799","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC1"
"TRIP11","Thyroid Hormone Receptor Interactor 11","Protein Coding","Q15643","54","GC14M091965","22.0196056365967","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIP11"
"RECQL4","RecQ Like Helicase 4","Protein Coding","O94761","53","GC08M146813","22.0103740692139","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RECQL4"
"WT1-AS","WT1 Antisense RNA","RNA Gene","Q06250","36","GC11P032434","21.9974498748779","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WT1-AS"
"MMP14","Matrix Metallopeptidase 14","Protein Coding","P50281","64","GC14P047982","21.9944343566895","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP14"
"MIR335","MicroRNA 335","RNA Gene","","29","GC07P130496","21.9944267272949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR335"
"SSTR2","Somatostatin Receptor 2","Protein Coding","P30874","59","GC17P073165","21.9658260345459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSTR2"
"LNCPTCTS","LncRNA Papillary Thyroid Carcinoma Tumor Suppressor","RNA Gene","","12","GC16M026726","21.9200439453125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LNCPTCTS"
"RXRA","Retinoid X Receptor Alpha","Protein Coding","P19793","61","GC09P134317","21.9032745361328","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RXRA"
"PRKCA","Protein Kinase C Alpha","Protein Coding","P17252","64","GC17P066302","21.7925090789795","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCA"
"MIR320A","MicroRNA 320a","RNA Gene","","31","GC08M022339","21.7301540374756","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR320A"
"PROP1","PROP Paired-Like Homeobox 1","Protein Coding","O75360","51","GC05M177992","21.7058258056641","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROP1"
"DCTN1-AS1","DCTN1 Antisense RNA 1","RNA Gene","","20","GC02P075033","21.6953678131104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCTN1-AS1"
"TNFSF4","TNF Superfamily Member 4","Protein Coding","P23510","55","GC01M173183","21.6865367889404","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF4"
"FANCD2","FA Complementation Group D2","Protein Coding","Q9BXW9","59","GC03P010026","21.6744384765625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCD2"
"DUOX1","Dual Oxidase 1","Protein Coding","Q9NRD9","55","GC15P045129","21.6684703826904","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUOX1"
"S100B","S100 Calcium Binding Protein B","Protein Coding","P04271","58","GC21M053916","21.6638927459717","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100B"
"CASP9","Caspase 9","Protein Coding","P55211","60","GC01M015507","21.6401481628418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP9"
"MCL1","MCL1 Apoptosis Regulator, BCL2 Family Member","Protein Coding","Q07820","62","GC01M163762","21.6351013183594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCL1"
"BMP6","Bone Morphogenetic Protein 6","Protein Coding","P22004","57","GC06P007726","21.6309089660645","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP6"
"CTNNA1","Catenin Alpha 1","Protein Coding","P35221","59","GC05P138710","21.6100387573242","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNA1"
"MIR182","MicroRNA 182","RNA Gene","","31","GC07M129770","21.5498561859131","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR182"
"ACTC1","Actin Alpha Cardiac Muscle 1","Protein Coding","P68032","57","GC15M034790","21.5215663909912","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTC1"
"FANCA","FA Complementation Group A","Protein Coding","O15360","62","GC16M090206","21.5044174194336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCA"
"HESX1","HESX Homeobox 1","Protein Coding","Q9UBX0","51","GC03M057207","21.4982624053955","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HESX1"
"SOX2","SRY-Box Transcription Factor 2","Protein Coding","P48431","59","GC03P181711","21.4776878356934","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX2"
"MIR23A","MicroRNA 23a","RNA Gene","","30","GC19M096312","21.4711322784424","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR23A"
"H3-3A","H3.3 Histone A","Protein Coding","P84243","55","GC01P226062","21.4670715332031","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3-3A"
"GLI3","GLI Family Zinc Finger 3","Protein Coding","P10071","62","GC07M041960","21.4508686065674","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLI3"
"CYP17A1","Cytochrome P450 Family 17 Subfamily A Member 1","Protein Coding","P05093","62","GC10M102830","21.4447841644287","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP17A1"
"CHD7","Chromodomain Helicase DNA Binding Protein 7","Protein Coding","Q9P2D1","57","GC08P060678","21.4280281066895","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHD7"
"TPD52","Tumor Protein D52","Protein Coding","P55327","52","GC08M080031","21.4235744476318","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPD52"
"PHOX2B","Paired Like Homeobox 2B","Protein Coding","Q99453","57","GC04M041746","21.3974094390869","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHOX2B"
"E2F1","E2F Transcription Factor 1","Protein Coding","Q01094","56","GC20M033675","21.3966579437256","https://www.genecards.org/cgi-bin/carddisp.pl?gene=E2F1"
"ERG","ETS Transcription Factor ERG","Protein Coding","P11308","59","GC21M038367","21.3891353607178","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERG"
"MIR224","MicroRNA 224","RNA Gene","","25","GC0XM151958","21.3550109863281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR224"
"MT-CYB","Mitochondrially Encoded Cytochrome B","Protein Coding","P00156","43","GCMTP014749","21.3452682495117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CYB"
"MIR29C","MicroRNA 29c","RNA Gene","","27","GC01M207835","21.3227291107178","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29C"
"RMRP","RNA Component Of Mitochondrial RNA Processing Endoribonuclease","RNA Gene","","33","GC09M035655","21.3081398010254","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RMRP"
"MTHFR","Methylenetetrahydrofolate Reductase","Protein Coding","P42898","61","GC01M011785","21.2663993835449","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR"
"CD79A","CD79a Molecule","Protein Coding","P11912","60","GC19P041877","21.2481288909912","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD79A"
"IFNB1","Interferon Beta 1","Protein Coding","P01574","56","GC09M021077","21.2480010986328","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNB1"
"MIRLET7D","MicroRNA Let-7d","RNA Gene","","31","GC09P094178","21.2377815246582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7D"
"THBS1","Thrombospondin 1","Protein Coding","P07996","59","GC15P039581","21.2353420257568","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THBS1"
"FGF23","Fibroblast Growth Factor 23","Protein Coding","Q9GZV9","59","GC12M004368","21.1910934448242","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF23"
"TNFSF15","TNF Superfamily Member 15","Protein Coding","O95150","56","GC09M114784","21.177433013916","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF15"
"BIRC3","Baculoviral IAP Repeat Containing 3","Protein Coding","Q13489","58","GC11P102317","21.1644325256348","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BIRC3"
"ITGB1","Integrin Subunit Beta 1","Protein Coding","P05556","63","GC10M036096","21.1550941467285","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB1"
"TNFSF14","TNF Superfamily Member 14","Protein Coding","O43557","51","GC19M096009","21.1291809082031","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF14"
"XIAP","X-Linked Inhibitor Of Apoptosis","Protein Coding","P98170","64","GC0XP123859","21.0365428924561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XIAP"
"NRG1","Neuregulin 1","Protein Coding","Q02297","62","GC08P031639","21.0363693237305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRG1"
"GC","GC Vitamin D Binding Protein","Protein Coding","P02774","57","GC04M071741","21.0268306732178","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GC"
"IFNG-AS1","IFNG Antisense RNA 1","RNA Gene","","28","GC12P067989","20.9921493530273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG-AS1"
"MIR98","MicroRNA 98","RNA Gene","","28","GC0XM053836","20.9199066162109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR98"
"VCAM1","Vascular Cell Adhesion Molecule 1","Protein Coding","P19320","59","GC01P100719","20.8990383148193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCAM1"
"TRIP4","Thyroid Hormone Receptor Interactor 4","Protein Coding","Q15650","53","GC15P166658","20.8825988769531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIP4"
"EXT2","Exostosin Glycosyltransferase 2","Protein Coding","Q93063","57","GC11P044095","20.8739776611328","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXT2"
"DANCR","Differentiation Antagonizing Non-Protein Coding RNA","RNA Gene","P0C864","32","GC04P052712","20.8695259094238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DANCR"
"HNF1B","HNF1 Homeobox B","Protein Coding","P35680","56","GC17M037686","20.8484592437744","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1B"
"HLA-DQB1","Major Histocompatibility Complex, Class II, DQ Beta 1","Protein Coding","P01920","55","GC06M097169","20.8410453796387","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DQB1"
"MED1","Mediator Complex Subunit 1","Protein Coding","Q15648","55","GC17M039404","20.8409423828125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MED1"
"CCND3","Cyclin D3","Protein Coding","P30281","60","GC06M041934","20.8345699310303","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND3"
